index,academic_year_first_registration,birth_date,nacionality,num_registrations,num_registrations_course_conferent_degree,working_student,age,total_ects,has_scholarship,moved_student,registrations,repetitions,attendance_T,attendance_TP,attendance_PL,TP_time,PL_time,frequency_grade_result,frequency_grade,normal_grade_result,normal_grade,recovery_grade_result,recovery_grade,valid_final_grade,years_since_registration,dropout
663,2013/2014,1995-06-23 05:00:00,PRT,3,6,0,26,59.0,False,False,1,0,0.6785714285714286,0.2857142857142857,0.75,20:00:00,22:00:00,AP,10.0,F,0.0,F,0.0,1,1,False
669,2013/2014,1995-04-24 05:00:00,PRT,1,5,0,26,66.0,False,False,1,0,0.9285714285714286,0.5714285714285714,0.5,22:00:00,15:00:00,AP,10.0,F,0.0,F,0.0,1,1,False
670,2013/2014,1995-02-25 06:00:00,PRT,1,6,0,26,59.0,False,False,1,0,0.6071428571428571,0.2142857142857142,0.75,15:00:00,00:00:00,AP,15.0,F,0.0,F,0.0,1,1,False
672,2013/2014,1995-01-06 06:00:00,PRT,1,5,0,26,65.0,True,True,1,0,0.5714285714285714,0.3571428571428571,0.75,20:00:00,20:00:00,AP,17.0,F,0.0,F,0.0,1,1,False
677,2013/2014,1994-01-10 06:00:00,PRT,1,7,0,27,65.0,False,False,1,0,0.1785714285714285,0.3571428571428571,0.75,15:00:00,22:00:00,AP,10.0,F,0.0,F,0.0,1,1,False
680,2013/2014,1995-04-06 05:00:00,PRT,1,7,0,26,59.0,False,True,1,0,0.1071428571428571,0.6428571428571429,0.75,20:00:00,20:00:00,AP,12.0,F,0.0,F,0.0,1,1,False
687,2013/2014,1994-10-07 05:00:00,PRT,4,7,0,26,66.0,False,True,1,0,0.6428571428571429,0.2857142857142857,0.75,20:00:00,20:00:00,AP,11.0,F,0.0,F,0.0,1,1,False
707,2014/2015,1992-09-19 05:00:00,PRT,1,4,0,28,60.0,False,True,1,0,0.6785714285714286,0.7142857142857143,0.75,20:00:00,15:00:00,AP,10.0,F,0.0,F,0.0,1,0,False
724,2008/2009,1990-11-25 06:00:00,PRT,3,10,0,30,62.0,False,False,3,0,0.5185185185185185,0.9,0.6666666666666666,15:00:00,21:30:00,R,8.0,F,0.0,AP,12.0,1,7,False
729,2009/2010,1991-03-25 06:00:00,PRT,2,11,1,30,84.0,False,False,1,3,0.074074074074074,0.4,0.5,15:00:00,20:00:00,AP,12.0,F,0.0,F,0.0,1,6,False
733,2009/2010,1991-05-02 05:00:00,PRT,3,11,0,30,78.0,False,True,3,3,0.037037037037037,0.8,0.5,15:00:00,22:00:00,AP,12.0,F,0.0,F,0.0,1,6,False
737,2010/2011,1989-11-30 06:00:00,PRT,1,8,0,31,78.0,False,True,1,4,0.2222222222222222,0.6363636363636364,0.3333333333333333,20:00:00,23:30:00,AP,10.0,F,0.0,F,0.0,1,5,False
738,2010/2011,1992-06-02 05:00:00,PRT,1,11,0,29,84.0,False,True,1,1,0.7037037037037037,0.9090909090909092,0.25,15:30:00,20:00:00,AP,10.0,F,0.0,F,0.0,1,5,False
740,2010/2011,1992-10-28 06:00:00,PRT,2,10,0,28,66.0,False,False,2,0,0.4074074074074074,1.0,0.6666666666666666,15:30:00,21:30:00,AP,16.0,F,0.0,F,0.0,1,5,False
749,2010/2011,1991-03-31 06:00:00,PRT,3,9,0,30,60.0,False,True,3,2,0.7777777777777778,0.9090909090909092,0.6666666666666666,15:30:00,21:30:00,AP,10.0,F,0.0,F,0.0,1,5,False
751,2010/2011,1993-10-25 06:00:00,PRT,4,9,0,27,91.0,False,True,4,1,0.2592592592592592,0.7272727272727273,0.5,20:00:00,22:00:00,AP,11.0,F,0.0,F,0.0,1,5,False
753,2011/2012,1993-11-05 06:00:00,PRT,3,9,0,27,37.0,False,True,2,2,0.3703703703703703,0.9090909090909092,1.0,15:30:00,23:30:00,R,8.0,F,0.0,AP,10.0,1,4,False
761,2011/2012,1993-02-17 06:00:00,PRT,4,9,0,28,54.0,True,False,1,1,0.2962962962962963,0.9,0.75,15:00:00,20:00:00,AP,11.0,F,0.0,F,0.0,1,4,False
763,2011/2012,1993-04-24 05:00:00,PRT,1,7,0,28,78.0,False,False,1,3,0.2222222222222222,1.0,0.6666666666666666,15:00:00,15:00:00,R,5.0,F,0.0,F,0.0,0,4,True
768,2011/2012,1992-11-26 06:00:00,PRT,1,8,0,28,66.0,False,True,1,1,0.2222222222222222,0.9,0.6666666666666666,15:00:00,15:00:00,R,8.0,F,0.0,AP,12.0,1,4,False
